date,country,arrivals,year,month
2019-01-01,Australia,3251.0,2019,1
2019-02-01,Australia,2753.0,2019,2
2019-03-01,Australia,3275.0,2019,3
2019-04-01,Australia,4521.0,2019,4
2019-05-01,Australia,2048.0,2019,5
2019-06-01,Australia,1731.0,2019,6
2019-07-01,Australia,1442.0,2019,7
2019-08-01,Australia,1407.0,2019,8
2019-09-01,Australia,4454.0,2019,9
2019-10-01,Australia,5671.0,2019,10
2019-11-01,Australia,4970.0,2019,11
2019-12-01,Australia,3449.0,2019,12
2020-01-01,Australia,3008.0,2020,1
2020-02-01,Australia,2542.0,2020,2
2020-03-01,Australia,1079.0,2020,3
2020-04-01,Australia,2.0,2020,4
2020-05-01,Australia,4.0,2020,5
2020-06-01,Australia,2.0,2020,6
2020-07-01,Australia,2.0,2020,7
2020-08-01,Australia,11.0,2020,8
2020-09-01,Australia,11.0,2020,9
2020-10-01,Australia,49.0,2020,10
2020-11-01,Australia,34.0,2020,11
2020-12-01,Australia,49.0,2020,12
2021-01-01,Australia,66.0,2021,1
2021-02-01,Australia,37.0,2021,2
2021-03-01,Australia,99.0,2021,3
2021-04-01,Australia,97.0,2021,4
2021-05-01,Australia,9.0,2021,5
2021-06-01,Australia,11.0,2021,6
2021-07-01,Australia,52.0,2021,7
2021-08-01,Australia,64.0,2021,8
2021-09-01,Australia,77.0,2021,9
2021-10-01,Australia,139.0,2021,10
2021-11-01,Australia,615.0,2021,11
2021-12-01,Australia,1211.0,2021,12
2022-01-01,Australia,1213.0,2022,1
2022-02-01,Australia,1053.0,2022,2
2022-03-01,Australia,1450.0,2022,3
2022-04-01,Australia,2747.0,2022,4
2022-05-01,Australia,1618.0,2022,5
2022-06-01,Australia,1482.0,2022,6
2022-07-01,Australia,1148.0,2022,7
2022-08-01,Australia,1210.0,2022,8
2022-09-01,Australia,4370.0,2022,9
2022-10-01,Australia,3946.0,2022,10
2022-11-01,Australia,3375.0,2022,11
2022-12-01,Australia,3282.0,2022,12
2023-01-01,Australia,3441.0,2023,1
2023-02-01,Australia,2969.0,2023,2
2023-03-01,Australia,3635.0,2023,3
2023-04-01,Australia,3828.0,2023,4
2023-05-01,Australia,2184.0,2023,5
2023-06-01,Australia,1639.0,2023,6
2023-07-01,Australia,1102.0,2023,7
2023-08-01,Australia,1347.0,2023,8
2023-09-01,Australia,3685.0,2023,9
2023-10-01,Australia,6075.0,2023,10
2023-11-01,Australia,5060.0,2023,11
2023-12-01,Australia,3834.0,2023,12
2024-01-01,Australia,3421.0,2024,1
2024-02-01,Australia,2976.0,2024,2
2024-03-01,Australia,4345.0,2024,3
2024-04-01,Australia,4110.0,2024,4
2024-05-01,Australia,2194.0,2024,5
2024-06-01,Australia,1589.0,2024,6
2024-07-01,Australia,1901.0,2024,7
2024-08-01,Australia,1763.0,2024,8
2024-09-01,Australia,5036.0,2024,9
2024-10-01,Australia,6929.0,2024,10
2024-11-01,Australia,4829.0,2024,11
2024-12-01,Australia,4885.0,2024,12
2025-01-01,Australia,4301.0,2025,1
2025-02-01,Australia,3825.0,2025,2
2025-03-01,Australia,4228.0,2025,3
2025-04-01,Australia,5319.0,2025,4
2025-05-01,Australia,2679.0,2025,5
2025-06-01,Australia,1831.0,2025,6
2025-07-01,Australia,1665.0,2025,7
2025-08-01,Australia,2223.0,2025,8
2025-09-01,Australia,6943.0,2025,9
2025-10-01,Australia,6177.0,2025,10
2025-11-01,Australia,5393.0,2025,11
2025-12-01,Australia,4980.0,2025,12
2019-01-01,Bangladesh,1284.0,2019,1
2019-02-01,Bangladesh,1641.0,2019,2
2019-03-01,Bangladesh,2072.0,2019,3
2019-04-01,Bangladesh,1840.0,2019,4
2019-05-01,Bangladesh,1037.0,2019,5
2019-06-01,Bangladesh,2270.0,2019,6
2019-07-01,Bangladesh,1588.0,2019,7
2019-08-01,Bangladesh,2565.0,2019,8
2019-09-01,Bangladesh,1979.0,2019,9
2019-10-01,Bangladesh,2786.0,2019,10
2019-11-01,Bangladesh,2963.0,2019,11
2019-12-01,Bangladesh,3824.0,2019,12
2020-01-01,Bangladesh,2285.0,2020,1
2020-02-01,Bangladesh,2209.0,2020,2
2020-03-01,Bangladesh,374.0,2020,3
2020-04-01,Bangladesh,0.0,2020,4
2020-05-01,Bangladesh,2.0,2020,5
2020-06-01,Bangladesh,2.0,2020,6
2020-07-01,Bangladesh,2.0,2020,7
2020-08-01,Bangladesh,1.0,2020,8
2020-09-01,Bangladesh,8.0,2020,9
2020-10-01,Bangladesh,5.0,2020,10
2020-11-01,Bangladesh,18.0,2020,11
2020-12-01,Bangladesh,11.0,2020,12
2021-01-01,Bangladesh,27.0,2021,1
2021-02-01,Bangladesh,156.0,2021,2
2021-03-01,Bangladesh,567.0,2021,3
2021-04-01,Bangladesh,162.0,2021,4
2021-05-01,Bangladesh,6.0,2021,5
2021-06-01,Bangladesh,0.0,2021,6
2021-07-01,Bangladesh,8.0,2021,7
2021-08-01,Bangladesh,31.0,2021,8
2021-09-01,Bangladesh,62.0,2021,9
2021-10-01,Bangladesh,481.0,2021,10
2021-11-01,Bangladesh,1382.0,2021,11
2021-12-01,Bangladesh,2162.0,2021,12
2022-01-01,Bangladesh,1236.0,2022,1
2022-02-01,Bangladesh,888.0,2022,2
2022-03-01,Bangladesh,2152.0,2022,3
2022-04-01,Bangladesh,1583.0,2022,4
2022-05-01,Bangladesh,3268.0,2022,5
2022-06-01,Bangladesh,2058.0,2022,6
2022-07-01,Bangladesh,1874.0,2022,7
2022-08-01,Bangladesh,1751.0,2022,8
2022-09-01,Bangladesh,2312.0,2022,9
2022-10-01,Bangladesh,2720.0,2022,10
2022-11-01,Bangladesh,2218.0,2022,11
2022-12-01,Bangladesh,3323.0,2022,12
2023-01-01,Bangladesh,2468.0,2023,1
2023-02-01,Bangladesh,1907.0,2023,2
2023-03-01,Bangladesh,2466.0,2023,3
2023-04-01,Bangladesh,2217.0,2023,4
2023-05-01,Bangladesh,2164.0,2023,5
2023-06-01,Bangladesh,2402.0,2023,6
2023-07-01,Bangladesh,2694.0,2023,7
2023-08-01,Bangladesh,3190.0,2023,8
2023-09-01,Bangladesh,3716.0,2023,9
2023-10-01,Bangladesh,4292.0,2023,10
2023-11-01,Bangladesh,3761.0,2023,11
2023-12-01,Bangladesh,5206.0,2023,12
2024-01-01,Bangladesh,3629.0,2024,1
2024-02-01,Bangladesh,4099.0,2024,2
2024-03-01,Bangladesh,2946.0,2024,3
2024-04-01,Bangladesh,4003.0,2024,4
2024-05-01,Bangladesh,3458.0,2024,5
2024-06-01,Bangladesh,3857.0,2024,6
2024-07-01,Bangladesh,3470.0,2024,7
2024-08-01,Bangladesh,3077.0,2024,8
2024-09-01,Bangladesh,4103.0,2024,9
2024-10-01,Bangladesh,4477.0,2024,10
2024-11-01,Bangladesh,5148.0,2024,11
2024-12-01,Bangladesh,6582.0,2024,12
2025-01-01,Bangladesh,5406.0,2025,1
2025-02-01,Bangladesh,5043.0,2025,2
2025-03-01,Bangladesh,3576.0,2025,3
2025-04-01,Bangladesh,5398.0,2025,4
2025-05-01,Bangladesh,4280.0,2025,5
2025-06-01,Bangladesh,5449.0,2025,6
2025-07-01,Bangladesh,4413.0,2025,7
2025-08-01,Bangladesh,4262.0,2025,8
2025-09-01,Bangladesh,3128.0,2025,9
2025-10-01,Bangladesh,4641.0,2025,10
2025-11-01,Bangladesh,5684.0,2025,11
2025-12-01,Bangladesh,6605.0,2025,12
2019-01-01,Canada,1134.0,2019,1
2019-02-01,Canada,1426.0,2019,2
2019-03-01,Canada,2196.0,2019,3
2019-04-01,Canada,1928.0,2019,4
2019-05-01,Canada,1265.0,2019,5
2019-06-01,Canada,729.0,2019,6
2019-07-01,Canada,853.0,2019,7
2019-08-01,Canada,693.0,2019,8
2019-09-01,Canada,1370.0,2019,9
2019-10-01,Canada,2643.0,2019,10
2019-11-01,Canada,1909.0,2019,11
2019-12-01,Canada,956.0,2019,12
2020-01-01,Canada,965.0,2020,1
2020-02-01,Canada,1237.0,2020,2
2020-03-01,Canada,680.0,2020,3
2020-04-01,Canada,0.0,2020,4
2020-05-01,Canada,2.0,2020,5
2020-06-01,Canada,5.0,2020,6
2020-07-01,Canada,4.0,2020,7
2020-08-01,Canada,10.0,2020,8
2020-09-01,Canada,9.0,2020,9
2020-10-01,Canada,46.0,2020,10
2020-11-01,Canada,58.0,2020,11
2020-12-01,Canada,86.0,2020,12
2021-01-01,Canada,96.0,2021,1
2021-02-01,Canada,116.0,2021,2
2021-03-01,Canada,127.0,2021,3
2021-04-01,Canada,183.0,2021,4
2021-05-01,Canada,24.0,2021,5
2021-06-01,Canada,14.0,2021,6
2021-07-01,Canada,79.0,2021,7
2021-08-01,Canada,145.0,2021,8
2021-09-01,Canada,261.0,2021,9
2021-10-01,Canada,563.0,2021,10
2021-11-01,Canada,479.0,2021,11
2021-12-01,Canada,351.0,2021,12
2022-01-01,Canada,361.0,2022,1
2022-02-01,Canada,420.0,2022,2
2022-03-01,Canada,753.0,2022,3
2022-04-01,Canada,1065.0,2022,4
2022-05-01,Canada,764.0,2022,5
2022-06-01,Canada,630.0,2022,6
2022-07-01,Canada,616.0,2022,7
2022-08-01,Canada,552.0,2022,8
2022-09-01,Canada,1078.0,2022,9
2022-10-01,Canada,1682.0,2022,10
2022-11-01,Canada,1184.0,2022,11
2022-12-01,Canada,650.0,2022,12
2023-01-01,Canada,1001.0,2023,1
2023-02-01,Canada,1369.0,2023,2
2023-03-01,Canada,1708.0,2023,3
2023-04-01,Canada,1672.0,2023,4
2023-05-01,Canada,1031.0,2023,5
2023-06-01,Canada,593.0,2023,6
2023-07-01,Canada,653.0,2023,7
2023-08-01,Canada,640.0,2023,8
2023-09-01,Canada,1109.0,2023,9
2023-10-01,Canada,2442.0,2023,10
2023-11-01,Canada,1570.0,2023,11
2023-12-01,Canada,902.0,2023,12
2024-01-01,Canada,929.0,2024,1
2024-02-01,Canada,1358.0,2024,2
2024-03-01,Canada,1851.0,2024,3
2024-04-01,Canada,1637.0,2024,4
2024-05-01,Canada,1014.0,2024,5
2024-06-01,Canada,666.0,2024,6
2024-07-01,Canada,1004.0,2024,7
2024-08-01,Canada,753.0,2024,8
2024-09-01,Canada,1465.0,2024,9
2024-10-01,Canada,2464.0,2024,10
2024-11-01,Canada,1984.0,2024,11
2024-12-01,Canada,948.0,2024,12
2025-01-01,Canada,1119.0,2025,1
2025-02-01,Canada,1686.0,2025,2
2025-03-01,Canada,2138.0,2025,3
2025-04-01,Canada,1839.0,2025,4
2025-05-01,Canada,1260.0,2025,5
2025-06-01,Canada,768.0,2025,6
2025-07-01,Canada,936.0,2025,7
2025-08-01,Canada,879.0,2025,8
2025-09-01,Canada,1464.0,2025,9
2025-10-01,Canada,2197.0,2025,10
2025-11-01,Canada,1740.0,2025,11
2025-12-01,Canada,982.0,2025,12
2019-01-01,China,12916.0,2019,1
2019-02-01,China,15345.0,2019,2
2019-03-01,China,17398.0,2019,3
2019-04-01,China,13778.0,2019,4
2019-05-01,China,12359.0,2019,5
2019-06-01,China,10215.0,2019,6
2019-07-01,China,12450.0,2019,7
2019-08-01,China,12817.0,2019,8
2019-09-01,China,13195.0,2019,9
2019-10-01,China,14896.0,2019,10
2019-11-01,China,17499.0,2019,11
2019-12-01,China,16675.0,2019,12
2020-01-01,China,13329.0,2020,1
2020-02-01,China,3429.0,2020,2
2020-03-01,China,1653.0,2020,3
2020-04-01,China,0.0,2020,4
2020-05-01,China,0.0,2020,5
2020-06-01,China,0.0,2020,6
2020-07-01,China,0.0,2020,7
2020-08-01,China,1.0,2020,8
2020-09-01,China,56.0,2020,9
2020-10-01,China,115.0,2020,10
2020-11-01,China,209.0,2020,11
2020-12-01,China,465.0,2020,12
2021-01-01,China,1876.0,2021,1
2021-02-01,China,708.0,2021,2
2021-03-01,China,1207.0,2021,3
2021-04-01,China,803.0,2021,4
2021-05-01,China,78.0,2021,5
2021-06-01,China,38.0,2021,6
2021-07-01,China,50.0,2021,7
2021-08-01,China,256.0,2021,8
2021-09-01,China,233.0,2021,9
2021-10-01,China,308.0,2021,10
2021-11-01,China,363.0,2021,11
2021-12-01,China,278.0,2021,12
2022-01-01,China,320.0,2022,1
2022-02-01,China,206.0,2022,2
2022-03-01,China,434.0,2022,3
2022-04-01,China,350.0,2022,4
2022-05-01,China,391.0,2022,5
2022-06-01,China,450.0,2022,6
2022-07-01,China,1595.0,2022,7
2022-08-01,China,1288.0,2022,8
2022-09-01,China,1332.0,2022,9
2022-10-01,China,946.0,2022,10
2022-11-01,China,1038.0,2022,11
2022-12-01,China,1249.0,2022,12
2023-01-01,China,1435.0,2023,1
2023-02-01,China,2266.0,2023,2
2023-03-01,China,2635.0,2023,3
2023-04-01,China,4771.0,2023,4
2023-05-01,China,4667.0,2023,5
2023-06-01,China,4343.0,2023,6
2023-07-01,China,5695.0,2023,7
2023-08-01,China,5025.0,2023,8
2023-09-01,China,8169.0,2023,9
2023-10-01,China,6880.0,2023,10
2023-11-01,China,7621.0,2023,11
2023-12-01,China,7371.0,2023,12
2024-01-01,China,7269.0,2024,1
2024-02-01,China,9180.0,2024,2
2024-03-01,China,12093.0,2024,3
2024-04-01,China,9748.0,2024,4
2024-05-01,China,8379.0,2024,5
2024-06-01,China,7493.0,2024,6
2024-07-01,China,6819.0,2024,7
2024-08-01,China,6614.0,2024,8
2024-09-01,China,8042.0,2024,9
2024-10-01,China,7747.0,2024,10
2024-11-01,China,9459.0,2024,11
2024-12-01,China,9031.0,2024,12
2025-01-01,China,8191.0,2025,1
2025-02-01,China,8467.0,2025,2
2025-03-01,China,11444.0,2025,3
2025-04-01,China,9034.0,2025,4
2025-05-01,China,8824.0,2025,5
2025-06-01,China,6735.0,2025,6
2025-07-01,China,6891.0,2025,7
2025-08-01,China,7533.0,2025,8
2025-09-01,China,5308.0,2025,9
2025-10-01,China,6755.0,2025,10
2025-11-01,China,7870.0,2025,11
2025-12-01,China,8680.0,2025,12
2019-01-01,France,1225.0,2019,1
2019-02-01,France,1814.0,2019,2
2019-03-01,France,3534.0,2019,3
2019-04-01,France,4343.0,2019,4
2019-05-01,France,1601.0,2019,5
2019-06-01,France,784.0,2019,6
2019-07-01,France,1300.0,2019,7
2019-08-01,France,1420.0,2019,8
2019-09-01,France,2191.0,2019,9
2019-10-01,France,6826.0,2019,10
2019-11-01,France,4508.0,2019,11
2019-12-01,France,1100.0,2019,12
2020-01-01,France,1106.0,2020,1
2020-02-01,France,2037.0,2020,2
2020-03-01,France,1196.0,2020,3
2020-04-01,France,0.0,2020,4
2020-05-01,France,1.0,2020,5
2020-06-01,France,4.0,2020,6
2020-07-01,France,4.0,2020,7
2020-08-01,France,20.0,2020,8
2020-09-01,France,18.0,2020,9
2020-10-01,France,53.0,2020,10
2020-11-01,France,33.0,2020,11
2020-12-01,France,68.0,2020,12
2021-01-01,France,107.0,2021,1
2021-02-01,France,90.0,2021,2
2021-03-01,France,169.0,2021,3
2021-04-01,France,162.0,2021,4
2021-05-01,France,17.0,2021,5
2021-06-01,France,14.0,2021,6
2021-07-01,France,41.0,2021,7
2021-08-01,France,128.0,2021,8
2021-09-01,France,235.0,2021,9
2021-10-01,France,739.0,2021,10
2021-11-01,France,808.0,2021,11
2021-12-01,France,319.0,2021,12
2022-01-01,France,283.0,2022,1
2022-02-01,France,537.0,2022,2
2022-03-01,France,1638.0,2022,3
2022-04-01,France,1992.0,2022,4
2022-05-01,France,858.0,2022,5
2022-06-01,France,507.0,2022,6
2022-07-01,France,759.0,2022,7
2022-08-01,France,656.0,2022,8
2022-09-01,France,1409.0,2022,9
2022-10-01,France,4929.0,2022,10
2022-11-01,France,2561.0,2022,11
2022-12-01,France,804.0,2022,12
2023-01-01,France,857.0,2023,1
2023-02-01,France,1463.0,2023,2
2023-03-01,France,3009.0,2023,3
2023-04-01,France,3211.0,2023,4
2023-05-01,France,1097.0,2023,5
2023-06-01,France,614.0,2023,6
2023-07-01,France,996.0,2023,7
2023-08-01,France,822.0,2023,8
2023-09-01,France,1682.0,2023,9
2023-10-01,France,5270.0,2023,10
2023-11-01,France,3205.0,2023,11
2023-12-01,France,942.0,2023,12
2024-01-01,France,970.0,2024,1
2024-02-01,France,1697.0,2024,2
2024-03-01,France,3240.0,2024,3
2024-04-01,France,3753.0,2024,4
2024-05-01,France,1282.0,2024,5
2024-06-01,France,550.0,2024,6
2024-07-01,France,853.0,2024,7
2024-08-01,France,711.0,2024,8
2024-09-01,France,1799.0,2024,9
2024-10-01,France,5485.0,2024,10
2024-11-01,France,3840.0,2024,11
2024-12-01,France,938.0,2024,12
2025-01-01,France,1010.0,2025,1
2025-02-01,France,1873.0,2025,2
2025-03-01,France,3280.0,2025,3
2025-04-01,France,3265.0,2025,4
2025-05-01,France,1393.0,2025,5
2025-06-01,France,627.0,2025,6
2025-07-01,France,773.0,2025,7
2025-08-01,France,795.0,2025,8
2025-09-01,France,1323.0,2025,9
2025-10-01,France,5048.0,2025,10
2025-11-01,France,4212.0,2025,11
2025-12-01,France,991.0,2025,12
2019-01-01,Germany,1480.0,2019,1
2019-02-01,Germany,3113.0,2019,2
2019-03-01,Germany,5589.0,2019,3
2019-04-01,Germany,4927.0,2019,4
2019-05-01,Germany,1808.0,2019,5
2019-06-01,Germany,835.0,2019,6
2019-07-01,Germany,988.0,2019,7
2019-08-01,Germany,1361.0,2019,8
2019-09-01,Germany,3456.0,2019,9
2019-10-01,Germany,7494.0,2019,10
2019-11-01,Germany,4208.0,2019,11
2019-12-01,Germany,1382.0,2019,12
2020-01-01,Germany,1405.0,2020,1
2020-02-01,Germany,2659.0,2020,2
2020-03-01,Germany,1692.0,2020,3
2020-04-01,Germany,0.0,2020,4
2020-05-01,Germany,0.0,2020,5
2020-06-01,Germany,2.0,2020,6
2020-07-01,Germany,2.0,2020,7
2020-08-01,Germany,10.0,2020,8
2020-09-01,Germany,9.0,2020,9
2020-10-01,Germany,50.0,2020,10
2020-11-01,Germany,27.0,2020,11
2020-12-01,Germany,40.0,2020,12
2021-01-01,Germany,97.0,2021,1
2021-02-01,Germany,126.0,2021,2
2021-03-01,Germany,208.0,2021,3
2021-04-01,Germany,218.0,2021,4
2021-05-01,Germany,13.0,2021,5
2021-06-01,Germany,16.0,2021,6
2021-07-01,Germany,31.0,2021,7
2021-08-01,Germany,81.0,2021,8
2021-09-01,Germany,225.0,2021,9
2021-10-01,Germany,790.0,2021,10
2021-11-01,Germany,725.0,2021,11
2021-12-01,Germany,399.0,2021,12
2022-01-01,Germany,364.0,2022,1
2022-02-01,Germany,645.0,2022,2
2022-03-01,Germany,1826.0,2022,3
2022-04-01,Germany,2132.0,2022,4
2022-05-01,Germany,776.0,2022,5
2022-06-01,Germany,436.0,2022,6
2022-07-01,Germany,718.0,2022,7
2022-08-01,Germany,809.0,2022,8
2022-09-01,Germany,1942.0,2022,9
2022-10-01,Germany,4935.0,2022,10
2022-11-01,Germany,2292.0,2022,11
2022-12-01,Germany,867.0,2022,12
2023-01-01,Germany,985.0,2023,1
2023-02-01,Germany,2108.0,2023,2
2023-03-01,Germany,4149.0,2023,3
2023-04-01,Germany,3245.0,2023,4
2023-05-01,Germany,1165.0,2023,5
2023-06-01,Germany,514.0,2023,6
2023-07-01,Germany,637.0,2023,7
2023-08-01,Germany,875.0,2023,8
2023-09-01,Germany,2851.0,2023,9
2023-10-01,Germany,5915.0,2023,10
2023-11-01,Germany,3512.0,2023,11
2023-12-01,Germany,1024.0,2023,12
2024-01-01,Germany,1282.0,2024,1
2024-02-01,Germany,2494.0,2024,2
2024-03-01,Germany,5254.0,2024,3
2024-04-01,Germany,3271.0,2024,4
2024-05-01,Germany,1391.0,2024,5
2024-06-01,Germany,546.0,2024,6
2024-07-01,Germany,726.0,2024,7
2024-08-01,Germany,849.0,2024,8
2024-09-01,Germany,2704.0,2024,9
2024-10-01,Germany,6017.0,2024,10
2024-11-01,Germany,3926.0,2024,11
2024-12-01,Germany,1339.0,2024,12
2025-01-01,Germany,1321.0,2025,1
2025-02-01,Germany,2453.0,2025,2
2025-03-01,Germany,4709.0,2025,3
2025-04-01,Germany,3835.0,2025,4
2025-05-01,Germany,1578.0,2025,5
2025-06-01,Germany,618.0,2025,6
2025-07-01,Germany,703.0,2025,7
2025-08-01,Germany,1086.0,2025,8
2025-09-01,Germany,2263.0,2025,9
2025-10-01,Germany,6368.0,2025,10
2025-11-01,Germany,4134.0,2025,11
2025-12-01,Germany,1252.0,2025,12
2019-01-01,India,17690.0,2019,1
2019-02-01,India,17659.0,2019,2
2019-03-01,India,18256.0,2019,3
2019-04-01,India,17128.0,2019,4
2019-05-01,India,26021.0,2019,5
2019-06-01,India,30513.0,2019,6
2019-07-01,India,22117.0,2019,7
2019-08-01,India,27555.0,2019,8
2019-09-01,India,18497.0,2019,9
2019-10-01,India,15612.0,2019,10
2019-11-01,India,19679.0,2019,11
2019-12-01,India,23423.0,2019,12
2020-01-01,India,16882.0,2020,1
2020-02-01,India,14886.0,2020,2
2020-03-01,India,6814.0,2020,3
2020-04-01,India,2.0,2020,4
2020-05-01,India,7.0,2020,5
2020-06-01,India,26.0,2020,6
2020-07-01,India,26.0,2020,7
2020-08-01,India,23.0,2020,8
2020-09-01,India,41.0,2020,9
2020-10-01,India,107.0,2020,10
2020-11-01,India,125.0,2020,11
2020-12-01,India,1397.0,2020,12
2021-01-01,India,4029.0,2021,1
2021-02-01,India,4767.0,2021,2
2021-03-01,India,7652.0,2021,3
2021-04-01,India,13173.0,2021,4
2021-05-01,India,587.0,2021,5
2021-06-01,India,363.0,2021,6
2021-07-01,India,1106.0,2021,7
2021-08-01,India,1990.0,2021,8
2021-09-01,India,3532.0,2021,9
2021-10-01,India,8739.0,2021,10
2021-11-01,India,10420.0,2021,11
2021-12-01,India,8314.0,2021,12
2022-01-01,India,3915.0,2022,1
2022-02-01,India,6015.0,2022,2
2022-03-01,India,15034.0,2022,3
2022-04-01,India,22476.0,2022,4
2022-05-01,India,26754.0,2022,5
2022-06-01,India,23248.0,2022,6
2022-07-01,India,17399.0,2022,7
2022-08-01,India,16147.0,2022,8
2022-09-01,India,14471.0,2022,9
2022-10-01,India,16910.0,2022,10
2022-11-01,India,20532.0,2022,11
2022-12-01,India,26433.0,2022,12
2023-01-01,India,16436.0,2023,1
2023-02-01,India,18401.0,2023,2
2023-03-01,India,25911.0,2023,3
2023-04-01,India,31437.0,2023,4
2023-05-01,India,36575.0,2023,5
2023-06-01,India,38845.0,2023,6
2023-07-01,India,21357.0,2023,7
2023-08-01,India,26665.0,2023,8
2023-09-01,India,28694.0,2023,9
2023-10-01,India,18480.0,2023,10
2023-11-01,India,24443.0,2023,11
2023-12-01,India,32692.0,2023,12
2024-01-01,India,24139.0,2024,1
2024-02-01,India,25578.0,2024,2
2024-03-01,India,30699.0,2024,3
2024-04-01,India,30165.0,2024,4
2024-05-01,India,38288.0,2024,5
2024-06-01,India,37834.0,2024,6
2024-07-01,India,21491.0,2024,7
2024-08-01,India,25833.0,2024,8
2024-09-01,India,22985.0,2024,9
2024-10-01,India,16313.0,2024,10
2024-11-01,India,19915.0,2024,11
2024-12-01,India,24541.0,2024,12
2025-01-01,India,20486.0,2025,1
2025-02-01,India,19885.0,2025,2
2025-03-01,India,21414.0,2025,3
2025-04-01,India,25933.0,2025,4
2025-05-01,India,28160.0,2025,5
2025-06-01,India,32662.0,2025,6
2025-07-01,India,27152.0,2025,7
2025-08-01,India,35506.0,2025,8
2025-09-01,India,15797.0,2025,9
2025-10-01,India,17300.0,2025,10
2025-11-01,India,18995.0,2025,11
2025-12-01,India,30094.0,2025,12
2019-01-01,Italy,660.0,2019,1
2019-02-01,Italy,931.0,2019,2
2019-03-01,Italy,1483.0,2019,3
2019-04-01,Italy,2050.0,2019,4
2019-05-01,Italy,784.0,2019,5
2019-06-01,Italy,504.0,2019,6
2019-07-01,Italy,569.0,2019,7
2019-08-01,Italy,2123.0,2019,8
2019-09-01,Italy,903.0,2019,9
2019-10-01,Italy,2375.0,2019,10
2019-11-01,Italy,1868.0,2019,11
2019-12-01,Italy,1426.0,2019,12
2020-01-01,Italy,655.0,2020,1
2020-02-01,Italy,657.0,2020,2
2020-03-01,Italy,250.0,2020,3
2020-04-01,Italy,0.0,2020,4
2020-05-01,Italy,0.0,2020,5
2020-06-01,Italy,0.0,2020,6
2020-07-01,Italy,0.0,2020,7
2020-08-01,Italy,0.0,2020,8
2020-09-01,Italy,1.0,2020,9
2020-10-01,Italy,13.0,2020,10
2020-11-01,Italy,8.0,2020,11
2020-12-01,Italy,15.0,2020,12
2021-01-01,Italy,29.0,2021,1
2021-02-01,Italy,32.0,2021,2
2021-03-01,Italy,54.0,2021,3
2021-04-01,Italy,55.0,2021,4
2021-05-01,Italy,6.0,2021,5
2021-06-01,Italy,6.0,2021,6
2021-07-01,Italy,9.0,2021,7
2021-08-01,Italy,33.0,2021,8
2021-09-01,Italy,68.0,2021,9
2021-10-01,Italy,98.0,2021,10
2021-11-01,Italy,142.0,2021,11
2021-12-01,Italy,81.0,2021,12
2022-01-01,Italy,66.0,2022,1
2022-02-01,Italy,72.0,2022,2
