date,foreign_arrivals,year,month
1/1/1991,17917,1991,1
2/1/1991,19382,1991,2
3/1/1991,25323,1991,3
4/1/1991,23721,1991,4
5/1/1991,21952,1991,5
6/1/1991,19808,1991,6
7/1/1991,19362,1991,7
8/1/1991,24429,1991,8
9/1/1991,23224,1991,9
10/1/1991,39339,1991,10
11/1/1991,32507,1991,11
12/1/1991,26031,1991,12
1/1/1992,17451,1992,1
2/1/1992,27489,1992,2
3/1/1992,31505,1992,3
4/1/1992,30682,1992,4
5/1/1992,29089,1992,5
6/1/1992,22469,1992,6
7/1/1992,20942,1992,7
8/1/1992,27338,1992,8
9/1/1992,24839,1992,9
10/1/1992,42647,1992,10
11/1/1992,32341,1992,11
12/1/1992,27561,1992,12
1/1/1993,19238,1993,1
2/1/1993,23931,1993,2
3/1/1993,30818,1993,3
4/1/1993,20121,1993,4
5/1/1993,20585,1993,5
6/1/1993,19602,1993,6
7/1/1993,13588,1993,7
8/1/1993,21583,1993,8
9/1/1993,23939,1993,9
10/1/1993,42242,1993,10
11/1/1993,30378,1993,11
12/1/1993,27542,1993,12
1/1/1994,21735,1994,1
2/1/1994,24872,1994,2
3/1/1994,31586,1994,3
4/1/1994,27292,1994,4
5/1/1994,26232,1994,5
6/1/1994,22907,1994,6
7/1/1994,19739,1994,7
8/1/1994,27610,1994,8
9/1/1994,27959,1994,9
10/1/1994,39393,1994,10
11/1/1994,28008,1994,11
12/1/1994,29198,1994,12
1/1/1995,22207,1995,1
2/1/1995,28240,1995,2
3/1/1995,34219,1995,3
4/1/1995,33994,1995,4
5/1/1995,27843,1995,5
6/1/1995,25650,1995,6
7/1/1995,23980,1995,7
8/1/1995,27686,1995,8
9/1/1995,30569,1995,9
10/1/1995,46845,1995,10
11/1/1995,35782,1995,11
12/1/1995,26380,1995,12
1/1/1996,27886,1996,1
2/1/1996,29676,1996,2
3/1/1996,39336,1996,3
4/1/1996,36331,1996,4
5/1/1996,29728,1996,5
6/1/1996,26749,1996,6
7/1/1996,22684,1996,7
8/1/1996,29080,1996,8
9/1/1996,32181,1996,9
10/1/1996,47314,1996,10
11/1/1996,37650,1996,11
12/1/1996,34998,1996,12
1/1/1997,25585,1997,1
2/1/1997,32861,1997,2
3/1/1997,43177,1997,3
4/1/1997,35229,1997,4
5/1/1997,33456,1997,5
6/1/1997,26367,1997,6
7/1/1997,26091,1997,7
8/1/1997,35549,1997,8
9/1/1997,31981,1997,9
10/1/1997,56272,1997,10
11/1/1997,40173,1997,11
12/1/1997,35116,1997,12
1/1/1998,28822,1998,1
2/1/1998,37956,1998,2
3/1/1998,41338,1998,3
4/1/1998,41087,1998,4
5/1/1998,35814,1998,5
6/1/1998,29181,1998,6
7/1/1998,27895,1998,7
8/1/1998,36174,1998,8
