date,country,arrivals,year,month
2019-01-01,Australia,3251,2019,1
2019-02-01,Australia,2753,2019,2
2019-03-01,Australia,3275,2019,3
2019-04-01,Australia,4521,2019,4
2019-05-01,Australia,2048,2019,5
2019-06-01,Australia,1731,2019,6
2019-07-01,Australia,1442,2019,7
2019-08-01,Australia,1407,2019,8
2019-09-01,Australia,4454,2019,9
2019-10-01,Australia,5671,2019,10
2019-11-01,Australia,4970,2019,11
2019-12-01,Australia,3449,2019,12
2020-01-01,Australia,3008,2020,1
2020-02-01,Australia,2542,2020,2
2020-03-01,Australia,1079,2020,3
2020-04-01,Australia,2,2020,4
2020-05-01,Australia,4,2020,5
2020-06-01,Australia,2,2020,6
2020-07-01,Australia,2,2020,7
2020-08-01,Australia,11,2020,8
2020-09-01,Australia,11,2020,9
2020-10-01,Australia,49,2020,10
2020-11-01,Australia,34,2020,11
2020-12-01,Australia,49,2020,12
2021-01-01,Australia,66,2021,1
2021-02-01,Australia,37,2021,2
2021-03-01,Australia,99,2021,3
2021-04-01,Australia,97,2021,4
2021-05-01,Australia,9,2021,5
2021-06-01,Australia,11,2021,6
2021-07-01,Australia,52,2021,7
2021-08-01,Australia,64,2021,8
2021-09-01,Australia,77,2021,9
2021-10-01,Australia,139,2021,10
2021-11-01,Australia,615,2021,11
2021-12-01,Australia,1211,2021,12
2022-01-01,Australia,1213,2022,1
2022-02-01,Australia,1053,2022,2
2022-03-01,Australia,1450,2022,3
2022-04-01,Australia,2747,2022,4
2022-05-01,Australia,1618,2022,5
2022-06-01,Australia,1482,2022,6
2022-07-01,Australia,1148,2022,7
2022-08-01,Australia,1210,2022,8
2022-09-01,Australia,4370,2022,9
2022-10-01,Australia,3946,2022,10
2022-11-01,Australia,3375,2022,11
2022-12-01,Australia,3282,2022,12
2023-01-01,Australia,3441,2023,1
2023-02-01,Australia,2969,2023,2
2023-03-01,Australia,3635,2023,3
2023-04-01,Australia,3828,2023,4
2023-05-01,Australia,2184,2023,5
2023-06-01,Australia,1639,2023,6
2023-07-01,Australia,1102,2023,7
2023-08-01,Australia,1347,2023,8
2023-09-01,Australia,3685,2023,9
2023-10-01,Australia,6075,2023,10
2023-11-01,Australia,5060,2023,11
2023-12-01,Australia,3834,2023,12
2024-01-01,Australia,3421,2024,1
2024-02-01,Australia,2976,2024,2
2024-03-01,Australia,4345,2024,3
2024-04-01,Australia,4110,2024,4
2024-05-01,Australia,2194,2024,5
2024-06-01,Australia,1589,2024,6
2024-07-01,Australia,1901,2024,7
2024-08-01,Australia,1763,2024,8
2024-09-01,Australia,5036,2024,9
2024-10-01,Australia,6929,2024,10
2024-11-01,Australia,4829,2024,11
2024-12-01,Australia,4885,2024,12
2025-01-01,Australia,4301,2025,1
2025-02-01,Australia,3825,2025,2
2025-03-01,Australia,4228,2025,3
2025-04-01,Australia,5319,2025,4
2025-05-01,Australia,2679,2025,5
2025-06-01,Australia,1831,2025,6
2025-07-01,Australia,1665,2025,7
2025-08-01,Australia,2223,2025,8
2025-09-01,Australia,6943,2025,9
2025-10-01,Australia,6177,2025,10
2025-11-01,Australia,5393,2025,11
2025-12-01,Australia,4980,2025,12
2019-01-01,Bangladesh,1284,2019,1
2019-02-01,Bangladesh,1641,2019,2
2019-03-01,Bangladesh,2072,2019,3
2019-04-01,Bangladesh,1840,2019,4
2019-05-01,Bangladesh,1037,2019,5
2019-06-01,Bangladesh,2270,2019,6
2019-07-01,Bangladesh,1588,2019,7
2019-08-01,Bangladesh,2565,2019,8
2019-09-01,Bangladesh,1979,2019,9
2019-10-01,Bangladesh,2786,2019,10
2019-11-01,Bangladesh,2963,2019,11
2019-12-01,Bangladesh,3824,2019,12
2020-01-01,Bangladesh,2285,2020,1
2020-02-01,Bangladesh,2209,2020,2
2020-03-01,Bangladesh,374,2020,3
2020-04-01,Bangladesh,0,2020,4
2020-05-01,Bangladesh,2,2020,5
2020-06-01,Bangladesh,2,2020,6
2020-07-01,Bangladesh,2,2020,7
2020-08-01,Bangladesh,1,2020,8
2020-09-01,Bangladesh,8,2020,9
2020-10-01,Bangladesh,5,2020,10
2020-11-01,Bangladesh,18,2020,11
2020-12-01,Bangladesh,11,2020,12
2021-01-01,Bangladesh,27,2021,1
2021-02-01,Bangladesh,156,2021,2
2021-03-01,Bangladesh,567,2021,3
2021-04-01,Bangladesh,162,2021,4
2021-05-01,Bangladesh,6,2021,5
2021-06-01,Bangladesh,0,2021,6
2021-07-01,Bangladesh,8,2021,7
2021-08-01,Bangladesh,31,2021,8
2021-09-01,Bangladesh,62,2021,9
2021-10-01,Bangladesh,481,2021,10
2021-11-01,Bangladesh,1382,2021,11
2021-12-01,Bangladesh,2162,2021,12
2022-01-01,Bangladesh,1236,2022,1
2022-02-01,Bangladesh,888,2022,2
2022-03-01,Bangladesh,2152,2022,3
2022-04-01,Bangladesh,1583,2022,4
2022-05-01,Bangladesh,3268,2022,5
2022-06-01,Bangladesh,2058,2022,6
2022-07-01,Bangladesh,1874,2022,7
2022-08-01,Bangladesh,1751,2022,8
2022-09-01,Bangladesh,2312,2022,9
2022-10-01,Bangladesh,2720,2022,10
2022-11-01,Bangladesh,2218,2022,11
2022-12-01,Bangladesh,3323,2022,12
2023-01-01,Bangladesh,2468,2023,1
2023-02-01,Bangladesh,1907,2023,2
2023-03-01,Bangladesh,2466,2023,3
2023-04-01,Bangladesh,2217,2023,4
2023-05-01,Bangladesh,2164,2023,5
2023-06-01,Bangladesh,2402,2023,6
2023-07-01,Bangladesh,2694,2023,7
2023-08-01,Bangladesh,3190,2023,8
2023-09-01,Bangladesh,3716,2023,9
2023-10-01,Bangladesh,4292,2023,10
2023-11-01,Bangladesh,3761,2023,11
2023-12-01,Bangladesh,5206,2023,12
2024-01-01,Bangladesh,3629,2024,1
2024-02-01,Bangladesh,4099,2024,2
2024-03-01,Bangladesh,2946,2024,3
2024-04-01,Bangladesh,4003,2024,4
2024-05-01,Bangladesh,3458,2024,5
2024-06-01,Bangladesh,3857,2024,6
2024-07-01,Bangladesh,3470,2024,7
2024-08-01,Bangladesh,3077,2024,8
2024-09-01,Bangladesh,4103,2024,9
2024-10-01,Bangladesh,4477,2024,10
2024-11-01,Bangladesh,5148,2024,11
2024-12-01,Bangladesh,6582,2024,12
2025-01-01,Bangladesh,5406,2025,1
2025-02-01,Bangladesh,5043,2025,2
2025-03-01,Bangladesh,3576,2025,3
2025-04-01,Bangladesh,5398,2025,4
2025-05-01,Bangladesh,4280,2025,5
2025-06-01,Bangladesh,5449,2025,6
2025-07-01,Bangladesh,4413,2025,7
2025-08-01,Bangladesh,4262,2025,8
2025-09-01,Bangladesh,3128,2025,9
2025-10-01,Bangladesh,4641,2025,10
2025-11-01,Bangladesh,5684,2025,11
2025-12-01,Bangladesh,6605,2025,12
2019-01-01,Canada,1134,2019,1
2019-02-01,Canada,1426,2019,2
2019-03-01,Canada,2196,2019,3
2019-04-01,Canada,1928,2019,4
2019-05-01,Canada,1265,2019,5
2019-06-01,Canada,729,2019,6
2019-07-01,Canada,853,2019,7
2019-08-01,Canada,693,2019,8
2019-09-01,Canada,1370,2019,9
2019-10-01,Canada,2643,2019,10
2019-11-01,Canada,1909,2019,11
2019-12-01,Canada,956,2019,12
2020-01-01,Canada,965,2020,1
2020-02-01,Canada,1237,2020,2
2020-03-01,Canada,680,2020,3
2020-04-01,Canada,0,2020,4
2020-05-01,Canada,2,2020,5
2020-06-01,Canada,5,2020,6
2020-07-01,Canada,4,2020,7
2020-08-01,Canada,10,2020,8
2020-09-01,Canada,9,2020,9
2020-10-01,Canada,46,2020,10
2020-11-01,Canada,58,2020,11
2020-12-01,Canada,86,2020,12
2021-01-01,Canada,96,2021,1
2021-02-01,Canada,116,2021,2
2021-03-01,Canada,127,2021,3
2021-04-01,Canada,183,2021,4
2021-05-01,Canada,24,2021,5
2021-06-01,Canada,14,2021,6
2021-07-01,Canada,79,2021,7
2021-08-01,Canada,145,2021,8
2021-09-01,Canada,261,2021,9
2021-10-01,Canada,563,2021,10
2021-11-01,Canada,479,2021,11
2021-12-01,Canada,351,2021,12
2022-01-01,Canada,361,2022,1
2022-02-01,Canada,420,2022,2
2022-03-01,Canada,753,2022,3
2022-04-01,Canada,1065,2022,4
2022-05-01,Canada,764,2022,5
2022-06-01,Canada,630,2022,6
2022-07-01,Canada,616,2022,7
2022-08-01,Canada,552,2022,8
2022-09-01,Canada,1078,2022,9
2022-10-01,Canada,1682,2022,10
2022-11-01,Canada,1184,2022,11
2022-12-01,Canada,650,2022,12
2023-01-01,Canada,1001,2023,1
2023-02-01,Canada,1369,2023,2
2023-03-01,Canada,1708,2023,3
2023-04-01,Canada,1672,2023,4
2023-05-01,Canada,1031,2023,5
2023-06-01,Canada,593,2023,6
2023-07-01,Canada,653,2023,7
2023-08-01,Canada,640,2023,8
2023-09-01,Canada,1109,2023,9
2023-10-01,Canada,2442,2023,10
2023-11-01,Canada,1570,2023,11
2023-12-01,Canada,902,2023,12
2024-01-01,Canada,929,2024,1
2024-02-01,Canada,1358,2024,2
2024-03-01,Canada,1851,2024,3
2024-04-01,Canada,1637,2024,4
2024-05-01,Canada,1014,2024,5
2024-06-01,Canada,666,2024,6
2024-07-01,Canada,1004,2024,7
2024-08-01,Canada,753,2024,8
2024-09-01,Canada,1465,2024,9
2024-10-01,Canada,2464,2024,10
2024-11-01,Canada,1984,2024,11
2024-12-01,Canada,948,2024,12
2025-01-01,Canada,1119,2025,1
2025-02-01,Canada,1686,2025,2
2025-03-01,Canada,2138,2025,3
2025-04-01,Canada,1839,2025,4
2025-05-01,Canada,1260,2025,5
2025-06-01,Canada,768,2025,6
2025-07-01,Canada,936,2025,7
2025-08-01,Canada,879,2025,8
2025-09-01,Canada,1464,2025,9
2025-10-01,Canada,2197,2025,10
2025-11-01,Canada,1740,2025,11
2025-12-01,Canada,982,2025,12
2019-01-01,China,12916,2019,1
2019-02-01,China,15345,2019,2
2019-03-01,China,17398,2019,3
2019-04-01,China,13778,2019,4
2019-05-01,China,12359,2019,5
2019-06-01,China,10215,2019,6
2019-07-01,China,12450,2019,7
2019-08-01,China,12817,2019,8
2019-09-01,China,13195,2019,9
2019-10-01,China,14896,2019,10
2019-11-01,China,17499,2019,11
2019-12-01,China,16675,2019,12
2020-01-01,China,13329,2020,1
2020-02-01,China,3429,2020,2
2020-03-01,China,1653,2020,3
2020-04-01,China,0,2020,4
2020-05-01,China,0,2020,5
2020-06-01,China,0,2020,6
2020-07-01,China,0,2020,7
2020-08-01,China,1,2020,8
2020-09-01,China,56,2020,9
2020-10-01,China,115,2020,10
2020-11-01,China,209,2020,11
2020-12-01,China,465,2020,12
2021-01-01,China,1876,2021,1
2021-02-01,China,708,2021,2
2021-03-01,China,1207,2021,3
2021-04-01,China,803,2021,4
2021-05-01,China,78,2021,5
2021-06-01,China,38,2021,6
2021-07-01,China,50,2021,7
2021-08-01,China,256,2021,8
2021-09-01,China,233,2021,9
2021-10-01,China,308,2021,10
2021-11-01,China,363,2021,11
2021-12-01,China,278,2021,12
2022-01-01,China,320,2022,1
2022-02-01,China,206,2022,2
2022-03-01,China,434,2022,3
2022-04-01,China,350,2022,4
2022-05-01,China,391,2022,5
2022-06-01,China,450,2022,6
2022-07-01,China,1595,2022,7
2022-08-01,China,1288,2022,8
2022-09-01,China,1332,2022,9
2022-10-01,China,946,2022,10
2022-11-01,China,1038,2022,11
2022-12-01,China,1249,2022,12
2023-01-01,China,1435,2023,1
2023-02-01,China,2266,2023,2
2023-03-01,China,2635,2023,3
2023-04-01,China,4771,2023,4
2023-05-01,China,4667,2023,5
2023-06-01,China,4343,2023,6
2023-07-01,China,5695,2023,7
2023-08-01,China,5025,2023,8
2023-09-01,China,8169,2023,9
2023-10-01,China,6880,2023,10
2023-11-01,China,7621,2023,11
2023-12-01,China,7371,2023,12
2024-01-01,China,7269,2024,1
2024-02-01,China,9180,2024,2
2024-03-01,China,12093,2024,3
2024-04-01,China,9748,2024,4
2024-05-01,China,8379,2024,5
2024-06-01,China,7493,2024,6
2024-07-01,China,6819,2024,7
2024-08-01,China,6614,2024,8
2024-09-01,China,8042,2024,9
2024-10-01,China,7747,2024,10
2024-11-01,China,9459,2024,11
2024-12-01,China,9031,2024,12
2025-01-01,China,8191,2025,1
2025-02-01,China,8467,2025,2
2025-03-01,China,11444,2025,3
2025-04-01,China,9034,2025,4
2025-05-01,China,8824,2025,5
2025-06-01,China,6735,2025,6
2025-07-01,China,6891,2025,7
2025-08-01,China,7533,2025,8
2025-09-01,China,5308,2025,9
2025-10-01,China,6755,2025,10
2025-11-01,China,7870,2025,11
2025-12-01,China,8680,2025,12
2019-01-01,France,1225,2019,1
2019-02-01,France,1814,2019,2
2019-03-01,France,3534,2019,3
2019-04-01,France,4343,2019,4
2019-05-01,France,1601,2019,5
2019-06-01,France,784,2019,6
2019-07-01,France,1300,2019,7
2019-08-01,France,1420,2019,8
2019-09-01,France,2191,2019,9
2019-10-01,France,6826,2019,10
2019-11-01,France,4508,2019,11
2019-12-01,France,1100,2019,12
2020-01-01,France,1106,2020,1
2020-02-01,France,2037,2020,2
2020-03-01,France,1196,2020,3
2020-04-01,France,0,2020,4
2020-05-01,France,1,2020,5
2020-06-01,France,4,2020,6
2020-07-01,France,4,2020,7
2020-08-01,France,20,2020,8
2020-09-01,France,18,2020,9
2020-10-01,France,53,2020,10
2020-11-01,France,33,2020,11
2020-12-01,France,68,2020,12
2021-01-01,France,107,2021,1
2021-02-01,France,90,2021,2
2021-03-01,France,169,2021,3
2021-04-01,France,162,2021,4
2021-05-01,France,17,2021,5
2021-06-01,France,14,2021,6
2021-07-01,France,41,2021,7
2021-08-01,France,128,2021,8
2021-09-01,France,235,2021,9
2021-10-01,France,739,2021,10
2021-11-01,France,808,2021,11
2021-12-01,France,319,2021,12
2022-01-01,France,283,2022,1
2022-02-01,France,537,2022,2
2022-03-01,France,1638,2022,3
2022-04-01,France,1992,2022,4
2022-05-01,France,858,2022,5
2022-06-01,France,507,2022,6
2022-07-01,France,759,2022,7
2022-08-01,France,656,2022,8
2022-09-01,France,1409,2022,9
2022-10-01,France,4929,2022,10
2022-11-01,France,2561,2022,11
2022-12-01,France,804,2022,12
2023-01-01,France,857,2023,1
2023-02-01,France,1463,2023,2
2023-03-01,France,3009,2023,3
2023-04-01,France,3211,2023,4
2023-05-01,France,1097,2023,5
2023-06-01,France,614,2023,6
2023-07-01,France,996,2023,7
2023-08-01,France,822,2023,8
2023-09-01,France,1682,2023,9
2023-10-01,France,5270,2023,10
2023-11-01,France,3205,2023,11
2023-12-01,France,942,2023,12
2024-01-01,France,970,2024,1
2024-02-01,France,1697,2024,2
2024-03-01,France,3240,2024,3
2024-04-01,France,3753,2024,4
2024-05-01,France,1282,2024,5
2024-06-01,France,550,2024,6
2024-07-01,France,853,2024,7
2024-08-01,France,711,2024,8
2024-09-01,France,1799,2024,9
2024-10-01,France,5485,2024,10
2024-11-01,France,3840,2024,11
2024-12-01,France,938,2024,12
2025-01-01,France,1010,2025,1
2025-02-01,France,1873,2025,2
2025-03-01,France,3280,2025,3
2025-04-01,France,3265,2025,4
2025-05-01,France,1393,2025,5
2025-06-01,France,627,2025,6
2025-07-01,France,773,2025,7
2025-08-01,France,795,2025,8
2025-09-01,France,1323,2025,9
2025-10-01,France,5048,2025,10
2025-11-01,France,4212,2025,11
2025-12-01,France,991,2025,12
2019-01-01,Germany,1480,2019,1
2019-02-01,Germany,3113,2019,2
2019-03-01,Germany,5589,2019,3
2019-04-01,Germany,4927,2019,4
2019-05-01,Germany,1808,2019,5
2019-06-01,Germany,835,2019,6
2019-07-01,Germany,988,2019,7
2019-08-01,Germany,1361,2019,8
2019-09-01,Germany,3456,2019,9
2019-10-01,Germany,7494,2019,10
2019-11-01,Germany,4208,2019,11
2019-12-01,Germany,1382,2019,12
2020-01-01,Germany,1405,2020,1
2020-02-01,Germany,2659,2020,2
2020-03-01,Germany,1692,2020,3
2020-04-01,Germany,0,2020,4
2020-05-01,Germany,0,2020,5
2020-06-01,Germany,2,2020,6
2020-07-01,Germany,2,2020,7
2020-08-01,Germany,10,2020,8
2020-09-01,Germany,9,2020,9
2020-10-01,Germany,50,2020,10
2020-11-01,Germany,27,2020,11
2020-12-01,Germany,40,2020,12
2021-01-01,Germany,97,2021,1
2021-02-01,Germany,126,2021,2
2021-03-01,Germany,208,2021,3
2021-04-01,Germany,218,2021,4
2021-05-01,Germany,13,2021,5
2021-06-01,Germany,16,2021,6
2021-07-01,Germany,31,2021,7
2021-08-01,Germany,81,2021,8
2021-09-01,Germany,225,2021,9
2021-10-01,Germany,790,2021,10
2021-11-01,Germany,725,2021,11
2021-12-01,Germany,399,2021,12
2022-01-01,Germany,364,2022,1
2022-02-01,Germany,645,2022,2
2022-03-01,Germany,1826,2022,3
2022-04-01,Germany,2132,2022,4
2022-05-01,Germany,776,2022,5
2022-06-01,Germany,436,2022,6
2022-07-01,Germany,718,2022,7
2022-08-01,Germany,809,2022,8
2022-09-01,Germany,1942,2022,9
2022-10-01,Germany,4935,2022,10
2022-11-01,Germany,2292,2022,11
2022-12-01,Germany,867,2022,12
2023-01-01,Germany,985,2023,1
2023-02-01,Germany,2108,2023,2
2023-03-01,Germany,4149,2023,3
2023-04-01,Germany,3245,2023,4
2023-05-01,Germany,1165,2023,5
2023-06-01,Germany,514,2023,6
2023-07-01,Germany,637,2023,7
2023-08-01,Germany,875,2023,8
2023-09-01,Germany,2851,2023,9
2023-10-01,Germany,5915,2023,10
2023-11-01,Germany,3512,2023,11
2023-12-01,Germany,1024,2023,12
2024-01-01,Germany,1282,2024,1
2024-02-01,Germany,2494,2024,2
2024-03-01,Germany,5254,2024,3
2024-04-01,Germany,3271,2024,4
2024-05-01,Germany,1391,2024,5
2024-06-01,Germany,546,2024,6
2024-07-01,Germany,726,2024,7
2024-08-01,Germany,849,2024,8
2024-09-01,Germany,2704,2024,9
2024-10-01,Germany,6017,2024,10
2024-11-01,Germany,3926,2024,11
2024-12-01,Germany,1339,2024,12
2025-01-01,Germany,1321,2025,1
2025-02-01,Germany,2453,2025,2
2025-03-01,Germany,4709,2025,3
2025-04-01,Germany,3835,2025,4
2025-05-01,Germany,1578,2025,5
2025-06-01,Germany,618,2025,6
2025-07-01,Germany,703,2025,7
2025-08-01,Germany,1086,2025,8
2025-09-01,Germany,2263,2025,9
2025-10-01,Germany,6368,2025,10
2025-11-01,Germany,4134,2025,11
2025-12-01,Germany,1252,2025,12
2019-01-01,India,17690,2019,1
2019-02-01,India,17659,2019,2
